,province
0,广东
1,江苏
2,广东
3,江苏
4,重庆
5,河北
6,黑龙江
7,四川
8,浙江
9,广东
10,天津
11,江苏
12,浙江
13,河北
14,江西
15,江苏
16,浙江
17,广东
18,黑龙江
19,陕西
20,北京
21,广东
22,湖南
23,内蒙古
24,山西
25,山东
26,河北
27,浙江
28,北京
29,陕西
30,辽宁
31,江苏
32,北京
33,新疆
34,重庆
35,广东
36,河南
37,广东
38,广东
39,河南
40,河北
41,重庆
42,江西
43,辽宁
44,内蒙古
45,山东
46,江苏
47,广东
48,广西
49,山东
50,陕西
51,江苏
52,福建
53,河南
54,四川
55,江苏
56,云南
57,浙江
58,上海
59,湖南
60,陕西
61,河北
62,浙江
63,山西
64,内蒙古
65,福建
66,山西
67,江西
68,江苏
69,江苏
70,广东
71,安徽
72,山西
73,河北
74,湖南
75,贵州
76,山东
77,山西
78,吉林
79,河南
80,河北
81,江苏
82,河北
83,四川
84,河南
85,北京
86,福建
87,上海
88,山西
89,四川
90,重庆
91,江苏
92,江西
93,北京
94,四川
95,河南
96,河北
97,河北
98,江西
99,黑龙江
100,陕西
101,青海
102,河南
103,江苏
104,重庆
105,甘肃
106,山西
107,北京
108,河北
109,广东
110,山西
111,陕西
112,山东
113,内蒙古
114,山东
115,河南
116,河南
117,广东
118,河南
119,陕西
120,浙江
121,内蒙古
122,江西
123,福建
124,河北
125,广东
126,重庆
127,浙江
128,四川
129,河北
130,山东
131,上海
132,河北
133,陕西
134,河南
135,福建
136,上海
137,四川
138,陕西
139,广东
140,云南
141,山西
142,河北
143,浙江
144,广东
145,江苏
146,山东
147,辽宁
148,广东
149,重庆
150,广东
151,广东
152,湖南
153,河南
154,福建
155,广东
156,广东
157,陕西
158,河南
159,河北
160,河南
161,广东
162,新疆
163,云南
164,河北
165,广西
166,湖南
167,上海
168,福建
169,北京
170,湖北
171,天津
172,浙江
173,陕西
174,重庆
175,北京
176,江苏
177,湖南
178,上海
179,河北
180,山西
181,山东
182,广西
183,山东
184,河北
185,上海
186,黑龙江
187,湖北
188,江苏
189,福建
190,河南
191,河北
192,四川
193,江西
194,山东
195,新疆
196,天津
197,上海
198,广东
199,河北
200,吉林
201,陕西
202,浙江
203,广东
204,河南
205,山东
206,湖北
207,广东
208,广西
209,广东
210,山西
211,福建
212,四川
213,广西
214,浙江
215,浙江
216,内蒙古
217,湖南
218,浙江
219,山东
220,浙江
221,北京
222,山东
223,辽宁
224,山东
225,河北
226,陕西
227,辽宁
228,江苏
229,浙江
230,山西
231,河南
232,天津
233,广东
234,山西
235,广东
236,河南
237,重庆
238,江苏
239,湖北
240,重庆
241,辽宁
242,山东
243,重庆
244,河南
245,山东
246,山东
247,天津
248,江苏
249,山东
250,江苏
251,福建
252,北京
253,广东
254,湖北
255,广东
256,湖北
257,河北
258,北京
259,黑龙江
260,广东
261,广东
262,河南
263,辽宁
264,广东
265,浙江
266,福建
267,江苏
268,北京
269,河南
270,山东
271,广西
272,福建
273,福建
274,山东
275,北京
276,云南
277,湖南
278,黑龙江
279,河南
280,湖北
281,湖南
282,福建
283,广东
284,重庆
285,湖北
286,陕西
287,陕西
288,江西
289,广东
290,上海
291,陕西
292,山东
293,云南
294,四川
295,湖南
296,河北
297,新疆
298,内蒙古
299,广西
300,河南
301,河南
302,湖北
303,河南
304,黑龙江
305,北京
306,江苏
307,山西
308,广西
309,广东
310,江苏
311,山西
312,福建
313,重庆
314,江苏
315,安徽
316,广西
317,江苏
318,山东
319,辽宁
320,安徽
321,广东
322,辽宁
323,陕西
324,辽宁
325,湖北
326,湖北
327,广东
328,江西
329,福建
330,河南
331,四川
332,浙江
333,山东
334,宁夏
335,云南
336,云南
337,广东
338,湖北
339,新疆
340,江苏
341,内蒙古
342,北京
343,河北
344,湖南
345,山东
346,四川
347,江苏
348,广西
349,广东
350,江苏
351,吉林
352,云南
353,山西
354,广西
355,天津
356,北京
357,河南
358,甘肃
359,广东
360,福建
361,辽宁
362,江苏
363,广东
364,山东
365,安徽
366,重庆
367,上海
368,河北
369,江西
370,四川
371,北京
372,湖北
373,辽宁
374,广东
375,湖南
376,广东
377,河北
378,四川
379,云南
380,广东
381,天津
382,广东
383,四川
384,浙江
385,福建
386,山西
387,四川
388,海南
389,四川
390,北京
391,福建
392,上海
393,福建
394,河北
395,四川
396,重庆
397,福建
398,福建
399,河南
400,山东
401,广东
402,江西
403,福建
404,广西
405,广东
406,江西
407,吉林
408,福建
409,甘肃
410,重庆
411,湖北
412,湖北
413,河南
414,吉林
415,山西
416,广东
417,辽宁
418,新疆
419,福建
420,山东
421,福建
422,辽宁
423,湖北
424,广东
425,河南
426,广东
427,安徽
428,湖北
429,广东
430,辽宁
431,山西
432,广东
433,广西
434,福建
435,山东
436,内蒙古
437,江苏
438,河北
439,山西
440,广东
441,福建
442,广东
443,福建
444,福建
445,天津
446,福建
447,福建
448,广东
449,河南
450,河南
451,湖北
452,山东
453,北京
454,湖南
455,山东
456,河南
457,浙江
458,湖北
459,江苏
460,山东
461,福建
462,河北
463,辽宁
464,上海
465,湖北
466,北京
467,江苏
468,新疆
469,北京
470,云南
471,广东
472,山东
473,广东
474,黑龙江
475,天津
476,北京
477,河南
478,江苏
479,湖南
480,黑龙江
481,山西
482,河北
483,安徽
484,湖北
485,辽宁
486,陕西
487,河南
488,四川
489,福建
490,四川
491,江西
492,北京
493,河南
494,山东
495,广东
496,陕西
497,江苏
498,四川
499,天津
500,辽宁
501,台湾
502,安徽
503,重庆
504,山东
505,浙江
506,江苏
507,浙江
508,山西
509,北京
510,贵州
511,上海
512,上海
513,新疆
514,辽宁
515,湖南
516,广西
517,陕西
518,广东
519,贵州
520,江西
521,上海
522,河南
523,湖北
524,北京
525,广东
526,新疆
527,江苏
528,山西
529,江西
530,广东
531,四川
532,广东
533,江苏
534,广西
535,河北
536,江苏
537,辽宁
538,广东
539,湖南
540,山东
541,广东
542,广东
543,江西
544,广西
545,重庆
546,湖南
547,河北
548,福建
549,广东
550,上海
551,广东
552,河南
553,广东
554,天津
555,北京
556,江苏
557,山西
558,河北
559,宁夏
560,江西
561,广东
562,广东
563,河南
564,河南
565,湖南
566,广西
567,河北
568,广西
569,广东
570,山东
571,湖南
572,江苏
573,河南
574,上海
575,山东
576,河北
577,山西
578,四川
579,山西
580,河北
581,山东
582,上海
583,江苏
584,陕西
585,北京
586,北京
587,湖南
588,天津
589,重庆
590,海南
591,山东
592,广东
593,陕西
594,重庆
595,广东
596,浙江
597,黑龙江
598,江苏
599,河南
600,广东
601,福建
602,河北
603,新疆
604,江苏
605,河北
606,山东
607,山东
608,山东
609,江苏
610,北京
611,浙江
612,宁夏
613,辽宁
614,江苏
615,河北
616,江苏
617,湖北
618,广东
619,湖南
620,山东
621,辽宁
622,江西
623,江苏
624,北京
625,江苏
626,陕西
627,陕西
628,四川
629,广东
630,上海
631,江苏
632,山东
633,广东
634,河南
635,陕西
636,山西
637,河南
638,湖北
639,天津
640,山东
641,江苏
642,江苏
643,山东
644,广东
645,贵州
646,新疆
647,江苏
648,北京
649,山西
650,北京
651,山东
652,云南
653,辽宁
654,广东
655,河北
656,河南
657,福建
658,广东
659,湖北
660,广东
661,广东
662,福建
663,四川
664,浙江
665,山西
666,山西
667,广东
668,广西
669,山东
670,北京
671,北京
672,甘肃
673,山东
674,河南
675,山东
676,贵州
677,湖南
678,陕西
679,江苏
680,江西
681,新疆
682,河北
683,河北
684,重庆
685,湖南
686,河南
687,吉林
688,湖北
689,四川
690,山东
691,浙江
692,上海
693,广东
694,吉林
695,湖南
696,辽宁
697,山东
698,重庆
699,河北
700,内蒙古
701,重庆
702,山东
703,山东
704,四川
705,重庆
706,湖北
707,广东
708,广东
709,江西
710,北京
711,山西
712,山西
713,甘肃
714,浙江
715,浙江
716,广东
717,湖南
718,山西
719,四川
720,广东
721,上海
722,山东
723,广东
724,内蒙古
725,广东
726,广东
727,湖南
728,北京
729,湖北
730,山东
731,广东
732,河南
733,江苏
734,广东
735,山东
736,河北
737,广东
738,湖南
739,安徽
740,陕西
741,辽宁
742,贵州
743,山西
744,河南
745,广东
746,广东
747,广东
748,陕西
749,上海
750,江西
751,广东
752,河南
753,江苏
754,山东
755,天津
756,浙江
757,辽宁
758,广东
759,辽宁
760,上海
761,河北
762,山东
763,广东
764,浙江
765,重庆
766,广东
767,广东
768,山东
769,陕西
770,重庆
771,湖南
772,江西
773,河南
774,江苏
775,山东
776,山东
777,湖北
778,山西
779,河北
780,山东
781,内蒙古
782,河南
783,浙江
784,福建
785,北京
786,江西
787,湖北
788,江西
789,北京
790,山东
791,江苏
792,山西
793,广东
794,江苏
795,河南
796,江苏
797,广东
798,山西
799,黑龙江
800,新疆
801,山东
802,广东
803,河南
804,广东
805,陕西
806,山东
807,北京
808,广东
809,广西
810,北京
811,福建
812,江苏
813,重庆
814,河南
815,河南
816,重庆
817,河南
818,河南
819,辽宁
820,吉林
821,河北
822,江苏
823,安徽
824,福建
825,河南
826,山西
827,山东
828,湖南
829,北京
830,江苏
831,重庆
832,江苏
833,广东
834,四川
835,内蒙古
836,黑龙江
837,重庆
838,广东
839,广东
840,四川
841,浙江
842,广西
843,广东
844,陕西
845,山东
846,江苏
847,江苏
848,山东
849,福建
850,山东
851,四川
852,贵州
853,广东
